PLAN_ID,PLAN_NAME,MER,DISC,PACKAGE,LEN,ROLLUP1,ASP,STARTDATE,ENDDATE
894,Mostly Music - 6mo,10.99,Full Price,Mostly Music,Semi Annual,Mostly Music Semi,TBD,01/01/14 00:00,04/01/15 00:00
895,Promo - Select - 12mo w/3mo Free (3FOR1) - 1X,11.2425,Discount,Select,Annual,Select Annual,Y,05/01/15 00:00,30/06/15 00:00
896,Promo - Select - 3mo (Legacy Pricing) - wActv,13.99,Full Price,Select,Quarterly,Select Quarterly,N,01/01/14 00:00,04/01/15 00:00
897,Courtesy - Select - 12mo w/1mo Savings - 1X,13.99,Full Price,Select,Annual,Select Annual,Y,01/01/14 00:00,04/01/15 00:00
898,Courtesy - Select - 6mo - 1X,14.99,Full Price,Select,Semi Annual,Select Semi,N,27/04/16 00:00,12/12/99 00:00
899,All Access - 6mo - wActv|Veteran 25% OffA3,15.74,Full Price,All Access,Semi Annual,All Access Semi - 25% Off,N,31/07/19 00:00,12/12/99 00:00
900,Promo - Select - 6mo w/3mo Free (Half-Off),7.495,Discount,Select,Semi Annual,Select Semi,N,01/01/14 00:00,04/01/15 00:00
901,Promo - All Access - 6mo - 72.00 - wETF (6mo50) - AMZ DOT-G3,12.0,Discount,All Access,Semi Annual,6 for 72 All Access AMZ,N,01/06/19 00:00,12/12/99 00:00
902,Marine Coastal - 1mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
903,Mostly Music - 24mo,10.99,Full Price,Mostly Music,Two Year,Mostly Music Three Year,Y,01/01/14 00:00,04/01/15 00:00
904,Promo - NavWeather - 4mo - 19.95 (4FOR20) - 1X,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
905,Select Family Friendly - 3mo - wActv,14.99,Full Price,Select,Quarterly,Select Quarterly,TBD,01/01/14 00:00,04/01/15 00:00
906,OEM Trial - Select - 2mo - 0.00 - (Used Car),0.0,Full Price,Select,2 Months,Other,N,01/01/14 00:00,04/01/15 00:00
